coin,date,target,price_change_percent,price_trend_7d,volatility_7d,avg_volume_7d,avg_price_7d,news_volume_change,sentiment_change,positive_change,negative_change,negative_spike,positive_spike,price_sentiment_alignment,divergence
trx,2025-11-03,0,-5.74136306319107,-0.05068597606362335,0.0018771185516368155,687475918.2857143,0.2963435686258059,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-11-04,1,1.5423715136715879,-4.96634431148685,0.005499216912162409,805090052.8571428,0.29387631323233215,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-11-05,1,1.2603020243083685,-3.619369192421397,0.006150572276055313,933975517.2857143,0.29239733181236854,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-11-06,0,-1.8824646418762327,-1.159563284972455,0.006039848422287468,922002528.4285715,0.29138010845875545,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-11-07,1,3.0389604746795427,-4.270768549020168,0.006595430331867941,828038230.5714285,0.2901186045246028,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
trx,2025-11-10,1,1.8984568477687302,3.4132986054318346,0.003953932067210145,892401908.7142857,0.28758077541348415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-11-12,0,-0.8583377136548374,2.788357932067328,0.00419618668868197,629162394.5714285,0.29140453519748066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-11-15,1,0.6093831210853282,0.4460926685424837,0.0022330229089187713,721976183.1428572,0.29361141143987884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-11-16,0,-0.6628184340960434,1.2636663948075408,0.002016236969630977,729229079.8571428,0.29405168741529014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trx,2025-11-19,0,-1.2684744640153964,-1.4866539788492197,0.0014576910764856218,904261091.4285715,0.29260494005020077,18.0,0.09264265238824818,10.0,5.0,0.0,1.0,-0.1377275677841343,0.0
trx,2025-11-20,0,-2.1360864479570685,-2.2770822360379634,0.0023900573338276995,930765633.5714285,0.2914537506117099,26.0,0.05951274945758856,13.0,8.0,1.0,1.0,-0.13551542460765287,0.0
trx,2025-11-21,0,-1.4451445812288253,-4.177259095731467,0.004435680223523397,926792324.0,0.28962615734337455,18.0,0.4414290186638633,11.0,4.0,1.0,1.0,-0.4678459850990298,1.0
trx,2025-11-22,0,-0.7587686273551464,-6.134039562843106,0.006207350963483602,966241022.2857143,0.28730167382179406,9.0,0.17171873804605142,5.0,0.0,0.0,1.0,-0.5112843287410156,0.0
trx,2025-11-26,1,0.8137166850926199,-4.276727359864921,0.004217320631089164,850223761.8571428,0.2773228343653643,13.0,0.023661913994986274,4.0,5.0,1.0,1.0,0.21875712819543497,0.0
trx,2025-11-27,1,1.378027782953004,-1.3914471856822126,0.001993226966596725,796671061.7142857,0.27589152002874057,19.0,0.16059158450096017,7.0,6.0,1.0,1.0,-0.014727834179834627,0.0
trx,2025-12-01,0,-1.6165250051426556,2.529346253724335,0.00299162124571782,541401056.0,0.278476089930313,-11.0,0.0694597125319498,-2.0,-6.0,0.0,0.0,0.19904983052553443,0.0
trx,2025-12-02,1,1.4219849075306104,1.0842819115526519,0.002667394224529779,576227596.1428572,0.2788183474270544,-1.0,-0.1655271992724585,-4.0,1.0,0.0,0.0,-0.03341569263171686,0.0
trx,2025-12-04,1,1.931838493626494,0.12440183369879665,0.0013879959710257927,586273288.4285715,0.2804000684603524,20.0,-0.010990767163440274,13.0,5.0,1.0,1.0,0.020439936009238092,0.0
trx,2025-12-06,1,0.7019370014215933,1.615069373324083,0.002816005857882635,627933535.1428572,0.28186365470620856,3.0,0.31119875776143197,5.0,0.0,0.0,1.0,0.4430959132746396,0.0
trx,2025-12-08,0,-1.892008381702139,3.496866131578095,0.0036255872718802583,678268744.0,0.2835322165842991,-18.0,-0.14538873032267607,-14.0,0.0,0.0,0.0,0.23093167718763893,0.0
